X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
533488.41;152714.96;16.76;25.1;154;0.668;14.01;0.6514;5.5830;2.791;;0.55;0.62;0.76;;mass 1;;0.55;0.62;0.76;ton/m3
532667.91;152276.56;4.13;6.5;129.25;0.635;12.83;0.5937;1.1427;0.571;;424.3155526;478.3193503;586.3269455;;Tot C mass;;424.32;478.32;586.33;ton
532993.33;152945.88;4.66;12.3;31;0.379;6.28;0.2719;0.2705;0.135;;;;;;CO2 eq;;1557.238078;1755.432015;2151.81989;
533203.99;152610.57;12.37;19.8;233;0.625;17.23;0.8097;6.3670;3.184;;;;;;;;;;;
533352.47;152332.33;10.97;16.4;130.5;0.669;12.89;0.5967;3.0664;1.533;;;;;;tot 2017 emission;;;;20697;ton
532644.47;151976.35;15.52;19.2;224;0.808;16.89;0.7932;7.6659;3.833;;;;;;;;7.52%;8.48%;10.40%;
533157.56;152814.63;9.07;17.5;181;0.518;15.18;0.7093;3.5823;1.791;;;;;;;;;;;
533054.81;152446.33;5.81;15.6;45.5;0.372;7.61;0.3373;0.5188;0.259;;;;;;;;;;;
533066.96;153170.91;15.96;21.8;161;0.732;14.32;0.6669;5.5720;2.786;;;;;;;;;;;
532786.25;152592.43;5.65;9.5;84.5;0.595;10.38;0.4730;0.9922;0.496;;;;;;;;;;;
533322.54;152697.14;19.51;24.2;206.5;0.806;16.22;0.7601;8.8496;4.425;;;;;;;;;;;
532799.7;152318.76;7.28;16.6;53.75;0.439;8.27;0.3698;0.7814;0.391;;;;;;;;;;;
533473.33;152578.26;5.05;10.6;164.75;0.476;14.49;0.6750;1.8064;0.903;;;;;;;;;;;
533007.72;152666.9;3.28;3.9;55.25;0.841;8.39;0.3754;0.3629;0.181;;;;;;;;;;;
533073.77;153044.69;6.92;11.6;134.5;0.597;13.09;0.6064;1.9973;0.999;;;;;;;;;;;
533153.96;152954.39;13.94;20.1;257.5;0.694;18.11;0.8531;7.9648;3.982;;;;;;;;;;;
533430.58;152378.27;9.38;14.6;226.75;0.642;17.00;0.7983;4.6927;2.346;;;;;;;;;;;
533065;152177.4;3.92;5.3;60;0.740;8.74;0.3928;0.4747;0.237;;;;;;;;;;;
533239.25;152389.63;6.53;13.6;67.75;0.480;9.29;0.4197;0.9028;0.451;;;;;;;;;;;
533141.1;152877.89;21.12;26.4;213.5;0.800;16.49;0.7735;9.9205;4.960;;;;;;;;;;;
533241.78;152740.76;9.07;20.3;134;0.447;13.07;0.6052;2.6076;1.304;;;;;;;;;;;
532903.29;152293.82;8.25;17;67.75;0.485;9.29;0.4197;1.1406;0.570;;;;;;;;;;;
533285.37;152555.63;6.6;20.1;54;0.328;8.29;0.3707;0.7120;0.356;;;;;;;;;;;
533009.67;152359.82;6.26;11.9;95.75;0.526;11.04;0.5059;1.2575;0.629;;;;;;;;;;;
533015.92;152584.67;4.87;11.7;140.25;0.416;13.37;0.6200;1.4694;0.735;;;;;;;;;;;
532729.71;152452.69;4.92;22;142;0.224;13.45;0.6241;1.5041;0.752;;;;;;;;;;;
532911.89;152422.58;9.71;19.4;33.75;0.501;6.56;0.2854;0.6207;0.310;;;;;;;;;;;
532874.01;152676.2;7.21;11.7;160;0.616;14.28;0.6647;2.5007;1.250;;;;;;;;;;;
533417.59;152680.77;9.16;15.8;207;0.580;16.24;0.7611;4.1655;2.083;;;;;;;;;;;
532611.65;152048.33;10.98;15.6;178.5;0.704;15.08;0.7041;4.2737;2.137;;;;;;;;;;;
533089.81;152907.32;7.03;13.2;170;0.533;14.72;0.6863;2.5992;1.300;;;;;;;;;;;
532963.83;152169.1;15.41;18.4;46.5;0.838;7.70;0.3413;1.4095;0.705;;;;;;;;;;;
533420.04;152298.61;9.57;12.7;139;0.754;13.31;0.6170;2.8603;1.430;;;;;;;;;;;
533113.42;152562.54;8.22;19.1;171.75;0.430;14.79;0.6900;3.0722;1.536;;;;;;;;;;;
533123.45;152769.59;5.72;10;129.5;0.572;12.84;0.5943;1.5859;0.793;;;;;;;;;;;
532930.45;152926.32;7.36;12.9;97.75;0.571;11.16;0.5115;1.5116;0.756;;;;;;;;;;;
533353.16;152602.27;10.14;17;177.5;0.596;15.04;0.7021;3.9234;1.962;;;;;;;;;;;
532758.02;152207.95;12.58;18.6;21.5;0.676;5.23;0.2203;0.4793;0.240;;;;;;;;;;;
533425.93;152527.66;4.3;12.1;110.75;0.355;11.88;0.5468;1.0093;0.505;;;;;;;;;;;
533067.09;153096.11;12.2;18.8;234.25;0.649;17.27;0.8120;6.3148;3.157;;;;;;;;;;;
533297.18;152402.4;6.83;12.7;165.25;0.538;14.51;0.6761;2.4509;1.225;;;;;;;;;;;
533008.98;153114.69;6.68;10.8;138.75;0.619;13.29;0.6165;1.9927;0.996;;;;;;;;;;;
533198.72;152769.8;11.21;20.8;171.75;0.539;14.79;0.6900;4.1896;2.095;;;;;;;;;;;
532926.78;152524.51;5.2;12.7;64.75;0.409;9.08;0.4094;0.6843;0.342;;;;;;;;;;;
533251.48;152690.3;19.9;26;264;0.765;18.34;0.8643;11.6697;5.835;;;;;;;;;;;
533206.09;152458.19;5.45;20;88;0.273;10.59;0.4834;0.9999;0.500;;;;;;;;;;;
532630.66;151969.44;15.04;18.9;213.75;0.796;16.50;0.7740;7.0733;3.537;;;;;;;;;;;
533126.46;152971.67;6.17;11.2;187.5;0.551;15.45;0.7226;2.5290;1.265;;;;;;;;;;;
533187.45;152663.2;7.2;11.9;129.5;0.605;12.84;0.5943;1.9962;0.998;;;;;;;;;;;
533447.27;152328.1;10.04;13.5;141.25;0.744;13.41;0.6223;3.0522;1.526;;;;;;;;;;;
532695.57;152013.9;12.46;17.3;206.75;0.720;16.23;0.7606;5.6590;2.829;;;;;;;;;;;
533469.56;152393.05;6.03;11;143.25;0.548;13.51;0.6270;1.8607;0.930;;;;;;;;;;;
533255.46;152752.46;17.79;22.5;218.5;0.791;16.68;0.7830;8.5614;4.281;;;;;;;;;;;
533169.97;152874.12;10.57;19;173.75;0.556;14.88;0.6942;3.9989;1.999;;;;;;;;;;;
533140.12;152438.68;5.68;16.8;79.25;0.338;10.05;0.4569;0.9308;0.465;;;;;;;;;;;
533375.99;152700.74;19.99;23.7;192.25;0.843;15.65;0.7322;8.4119;4.206;;;;;;;;;;;
533415.72;152588.53;6.76;15;119.5;0.451;12.34;0.5694;1.7207;0.860;;;;;;;;;;;
533002.73;153031.25;4.38;10.8;93.25;0.406;10.90;0.4987;0.8552;0.428;;;;;;;;;;;
533105.61;152809.05;5.68;10.3;151.5;0.551;13.89;0.6458;1.8596;0.930;;;;;;;;;;;
533073.6;152370.31;7.66;11.2;146.5;0.684;13.66;0.6344;2.4204;1.210;;;;;;;;;;;
533121.83;152660.73;4.34;9.2;81.5;0.472;10.19;0.4638;0.7330;0.367;;;;;;;;;;;
533423.57;152458.26;4.33;8.8;107;0.492;11.68;0.5369;0.9797;0.490;;;;;;;;;;;
532629.45;152015.18;14.05;18.5;244.5;0.759;17.65;0.8304;7.6051;3.803;;;;;;;;;;;
532993.59;152425.1;8.05;15.6;106.75;0.516;11.66;0.5362;1.8167;0.908;;;;;;;;;;;
533172.24;152906.07;6.96;15.5;130.5;0.449;12.89;0.5967;1.9455;0.973;;;;;;;;;;;
532652.08;152092.62;10.2;21.2;34;0.481;6.58;0.2865;0.6574;0.329;;;;;;;;;;;
533108.36;153013.97;4.13;8;60;0.516;8.74;0.3928;0.5001;0.250;;;;;;;;;;;
532781.71;152530;6.33;16.5;81.5;0.384;10.19;0.4638;1.0691;0.535;;;;;;;;;;;
533046.52;153196.77;6.03;14.6;243;0.413;17.59;0.8277;3.2431;1.622;;;;;;;;;;;
532941.42;152890.98;12.38;17.7;185.75;0.699;15.38;0.7190;5.0246;2.512;;;;;;;;;;;
532694.48;152367.25;4.77;9.1;133.75;0.524;13.05;0.6046;1.3686;0.684;;;;;;;;;;;
533248.11;152575.04;4.18;15.5;46.5;0.270;7.70;0.3413;0.3823;0.191;;;;;;;;;;;
533132.44;152909.89;22.23;26.4;241.25;0.842;17.53;0.8246;11.8659;5.933;;;;;;;;;;;
533444.55;152713.82;10.36;17;195.5;0.609;15.78;0.7386;4.4370;2.218;;;;;;;;;;;
532878.3;152352.12;8.87;17.1;92.5;0.519;10.86;0.4966;1.7169;0.858;;;;;;;;;;;
533138.94;152838.53;10.05;17.4;195;0.578;15.76;0.7376;4.2926;2.146;;;;;;;;;;;
533287.17;152471.86;10.82;18;97.5;0.601;11.14;0.5108;2.2161;1.108;;;;;;;;;;;
533286.86;152661.55;5.45;9.7;208.5;0.562;16.30;0.7640;2.4972;1.249;;;;;;;;;;;
532916.16;152374.43;11.07;16.7;105.5;0.663;11.59;0.5328;2.4670;1.234;;;;;;;;;;;
532659.02;152002.98;16.21;19.9;219.75;0.815;16.73;0.7853;7.8478;3.924;;;;;;;;;;;
533320.35;152655.79;5.46;8.7;206;0.628;16.20;0.7592;2.4703;1.235;;;;;;;;;;;
533374.82;152266.75;6.51;9.1;117;0.715;12.21;0.5631;1.6202;0.810;;;;;;;;;;;
533375.79;152544.21;6.23;18.5;74.25;0.337;9.73;0.4411;0.9514;0.476;;;;;;;;;;;
533144.65;152370.51;6.44;10.8;128.75;0.596;12.81;0.5925;1.7745;0.887;;;;;;;;;;;
533396.4;152332.62;7.14;10.2;106;0.700;11.62;0.5342;1.5993;0.800;;;;;;;;;;;
533067.45;153124.52;8.83;17.4;165.5;0.507;14.52;0.6767;3.1737;1.587;;;;;;;;;;;
533262.44;152716.67;18.54;23.4;191.25;0.792;15.61;0.7302;7.7591;3.880;;;;;;;;;;;
533044.52;152607.12;13.72;19.6;200.75;0.700;15.99;0.7490;6.0417;3.021;;;;;;;;;;;
532809.86;152264.15;5.36;18.2;115.25;0.295;12.12;0.5586;1.3127;0.656;;;;;;;;;;;
533473.97;152456.29;6.21;24.9;106;0.249;11.62;0.5342;1.3910;0.695;;;;;;;;;;;
533194.21;152995.07;4.93;7.4;32.75;0.666;6.46;0.2805;0.3046;0.152;;;;;;;;;;;
533164.72;152768.39;8.06;15.8;135;0.510;13.11;0.6076;2.3355;1.168;;;;;;;;;;;
532598.99;151990.05;8.85;14.2;178.5;0.623;15.08;0.7041;3.4446;1.722;;;;;;;;;;;
533455.57;152594.54;6.54;12.1;170.25;0.540;14.73;0.6868;2.4218;1.211;;;;;;;;;;;
532999.37;152274.94;5.13;12.6;41;0.407;7.23;0.3183;0.4079;0.204;;;;;;;;;;;
533089.52;152777.86;7.1;11.9;184.25;0.597;15.32;0.7160;2.8572;1.429;;;;;;;;;;;
533081.3;153150.37;11.7;20.4;174.75;0.574;14.92;0.6963;4.4532;2.227;;;;;;;;;;;
533292.64;152721.19;11.79;17.9;177.25;0.659;15.03;0.7015;4.5551;2.278;;;;;;;;;;;
532801.03;152393.1;7.94;20.2;46;0.393;7.65;0.3393;0.7176;0.359;;;;;;;;;;;
533104.06;152956.38;6.59;12.4;201;0.531;16.00;0.7495;2.9057;1.453;;;;;;;;;;;
533460.35;152303.26;7.23;12.2;167.5;0.593;14.61;0.6810;2.6317;1.316;;;;;;;;;;;
532927.78;152614.05;5.68;8.4;63.75;0.676;9.01;0.4060;0.7349;0.367;;;;;;;;;;;
532972.66;152239.69;4.9;9.4;27.5;0.521;5.92;0.2540;0.2481;0.124;;;;;;;;;;;
533095.25;152878.22;9.21;16;180.75;0.576;15.17;0.7088;3.6323;1.816;;;;;;;;;;;
533188.23;152851.38;5.9;10.8;77.5;0.546;9.94;0.4514;0.9437;0.472;;;;;;;;;;;
532747.75;152497.96;6;16.6;129.5;0.361;12.84;0.5943;1.6635;0.832;;;;;;;;;;;
532774.71;152288.39;4.43;18;87;0.246;10.53;0.4805;0.8028;0.401;;;;;;;;;;;
533179.2;152625.58;6.25;13;131.25;0.481;12.93;0.5985;1.7577;0.879;;;;;;;;;;;
532857.58;152106.74;3.63;4.8;12;0.756;3.91;0.1553;0.0687;0.034;;;;;;;;;;;
532973.61;152379.69;9.43;17.1;177.5;0.551;15.04;0.7021;3.6487;1.824;;;;;;;;;;;
533207.44;152418.75;4.25;18.5;63;0.230;8.96;0.4034;0.5428;0.271;;;;;;;;;;;
533408.73;152212.76;6.9;17;50;0.406;7.98;0.3553;0.6839;0.342;;;;;;;;;;;
533317.43;152343.54;6.81;11.1;205.25;0.614;16.17;0.7577;3.0694;1.535;;;;;;;;;;;
533118.11;152474.73;6.49;18;21.75;0.361;5.26;0.2218;0.2506;0.125;;;;;;;;;;;
533420.72;152411.21;6.12;12.4;166.75;0.494;14.57;0.6793;2.2172;1.109;;;;;;;;;;;
533121.53;152811.32;8;15.3;166.25;0.523;14.55;0.6783;2.8891;1.445;;;;;;;;;;;
532794.02;152612.07;4.48;7.6;99;0.589;11.23;0.5150;0.9327;0.466;;;;;;;;;;;
533061.66;152996.97;7.13;12;68.5;0.594;9.34;0.4222;0.9976;0.499;;;;;;;;;;;
532680.36;152328.68;5.25;8.2;94;0.640;10.94;0.5009;1.0339;0.517;;;;;;;;;;;
532910.65;152236.79;4.87;7.7;70.75;0.632;9.49;0.4297;0.7057;0.353;;;;;;;;;;;
533502.08;152531.41;5.61;11.6;82.75;0.484;10.27;0.4677;0.9632;0.482;;;;;;;;;;;
533288.52;152603.46;4.98;8.1;127.5;0.615;12.74;0.5894;1.3581;0.679;;;;;;;;;;;
533397.57;152717.31;15;19.7;126.5;0.761;12.69;0.5869;4.0566;2.028;;;;;;;;;;;
532701.42;152159.31;4.53;10.9;19.5;0.416;4.98;0.2081;0.1539;0.077;;;;;;;;;;;
533300.99;152695.39;16.99;20.6;168.5;0.825;14.65;0.6831;6.2233;3.112;;;;;;;;;;;
533201.87;152376.12;5.31;15.9;138;0.334;13.26;0.6147;1.5750;0.787;;;;;;;;;;;
533476.18;152331.99;4.67;7.1;96.5;0.658;11.09;0.5080;0.9460;0.473;;;;;;;;;;;
533162.53;152567.49;6.69;19.5;133.75;0.343;13.05;0.6046;1.9195;0.960;;;;;;;;;;;
533014.6;152644.35;5.08;7.5;133.5;0.677;13.04;0.6040;1.4547;0.727;;;;;;;;;;;
532823.05;152335.46;7.82;11.7;136;0.668;13.16;0.6099;2.2838;1.142;;;;;;;;;;;
533050.23;152360.92;5.47;8.4;98.25;0.651;11.19;0.5129;1.1296;0.565;;;;;;;;;;;
533155.89;152882.64;19.01;24.5;209.75;0.776;16.35;0.7664;8.7651;4.383;;;;;;;;;;;
532691.55;152226.35;4.32;8.4;40.5;0.514;7.18;0.3161;0.3389;0.169;;;;;;;;;;;
533365.41;152450.12;15.72;19.2;9.5;0.819;3.48;0.1341;0.2219;0.111;;;;;;;;;;;
533067.68;153202.06;7.54;15.6;190.75;0.483;15.59;0.7292;3.1469;1.573;;;;;;;;;;;
533067.51;152416.72;9.65;16.7;69;0.578;9.38;0.4239;1.3609;0.680;;;;;;;;;;;
533369.86;152655.92;4.84;7.6;102;0.637;11.40;0.5233;1.0404;0.520;;;;;;;;;;;
533186.26;152790.3;20.08;25.8;263.5;0.778;18.32;0.8635;11.7520;5.876;;;;;;;;;;;
533112.59;152850.14;8.1;14.1;181.25;0.574;15.20;0.7098;3.2038;1.602;;;;;;;;;;;
533207.83;152893.45;5.93;8.6;76.5;0.690;9.87;0.4482;0.9353;0.468;;;;;;;;;;;
533373.96;152350.15;7.22;11.8;198.25;0.612;15.89;0.7441;3.1378;1.569;;;;;;;;;;;
533209.03;152639.31;9.67;14.9;231;0.649;17.15;0.8061;4.9326;2.466;;;;;;;;;;;
533170.77;152839.58;14.06;18.4;201.25;0.764;16.01;0.7500;6.2076;3.104;;;;;;;;;;;
532994.15;153071.37;6.6;11.9;115;0.555;12.10;0.5579;1.6127;0.806;;;;;;;;;;;
533276.28;152770.93;9.25;15.8;226.5;0.585;16.99;0.7979;4.6223;2.311;;;;;;;;;;;
532952.27;152972.55;5.82;10.1;97.5;0.576;11.14;0.5108;1.1920;0.596;;;;;;;;;;;
532685.33;151985.56;12.96;17;219.75;0.762;16.73;0.7853;6.2744;3.137;;;;;;;;;;;
533138.56;153004.1;8.82;14;125.25;0.630;12.63;0.5839;2.3602;1.180;;;;;;;;;;;
532990.95;152509.23;13.77;25.7;25.75;0.536;5.73;0.2446;0.6467;0.323;;;;;;;;;;;
533236.62;152751.96;19.44;23.4;200.5;0.831;15.98;0.7485;8.5493;4.275;;;;;;;;;;;
533045.89;153069.52;6;10.8;67.25;0.556;9.26;0.4180;0.8228;0.411;;;;;;;;;;;
532818.83;152493.05;9.17;22.1;50.25;0.415;8.00;0.3563;0.9139;0.457;;;;;;;;;;;
532852.06;152645.02;4.13;6.6;34;0.626;6.58;0.2865;0.2662;0.133;;;;;;;;;;;
533051.28;152703.61;7.24;7.9;31.5;0.916;6.33;0.2744;0.4280;0.214;;;;;;;;;;;
533498.63;152582.06;10.82;17.6;102.5;0.615;11.43;0.5247;2.3381;1.169;;;;;;;;;;;
532960.33;152911.7;6.86;13.6;134.75;0.504;13.10;0.6070;1.9839;0.992;;;;;;;;;;;
533154.07;152475.31;5.65;15.9;114.5;0.355;12.08;0.5566;1.3742;0.687;;;;;;;;;;;
532827.04;152672.64;5.07;8.4;59.5;0.604;8.71;0.3910;0.6083;0.304;;;;;;;;;;;
533215.03;152729.54;7.99;16.7;246.25;0.478;17.71;0.8335;4.3572;2.179;;;;;;;;;;;
533027.44;152930.26;5.25;12.1;24.25;0.434;5.56;0.2363;0.2301;0.115;;;;;;;;;;;
532741.2;152065.7;6.94;18;15;0.386;4.37;0.1780;0.1725;0.086;;;;;;;;;;;
533345.98;152706.87;16.31;23.6;166.75;0.691;14.57;0.6793;5.9089;2.954;;;;;;;;;;;
533079.91;152580.04;6.32;17.8;63.75;0.355;9.01;0.4060;0.8177;0.409;;;;;;;;;;;
532644.5;152198.07;3.99;5.1;35.75;0.782;6.75;0.2948;0.2721;0.136;;;;;;;;;;;
532623.87;152000.49;15.79;19.1;253.75;0.827;17.98;0.8466;8.8848;4.442;;;;;;;;;;;
532776.85;152247.61;6.78;17.2;92.5;0.394;10.86;0.4966;1.3124;0.656;;;;;;;;;;;
533484.01;152734.26;14.47;21.8;121.5;0.664;12.44;0.5745;3.7489;1.874;;;;;;;;;;;
533128.34;152880.89;17.24;23;200.75;0.750;15.99;0.7490;7.5917;3.796;;;;;;;;;;;
533029.92;152214.34;4.12;5.7;23.25;0.723;5.44;0.2306;0.1719;0.086;;;;;;;;;;;
533432.31;152617.33;8.65;15.3;125.75;0.565;12.66;0.5851;2.3245;1.162;;;;;;;;;;;
533200.98;152533.88;5.62;19.4;49.5;0.290;7.94;0.3534;0.5509;0.275;;;;;;;;;;;
532971.03;152431.89;7.34;14.2;85.75;0.517;10.45;0.4767;1.3096;0.655;;;;;;;;;;;
533140.31;152937.1;23.83;31.2;157.5;0.764;14.16;0.6592;8.1287;4.064;;;;;;;;;;;
533324.38;152600.16;10.93;16.5;151;0.662;13.87;0.6447;3.5660;1.783;;;;;;;;;;;
533462.55;152728.79;8.86;18;125;0.492;12.62;0.5832;2.3659;1.183;;;;;;;;;;;
532721.31;152422.54;6.47;9.8;52.5;0.660;8.18;0.3650;0.6767;0.338;;;;;;;;;;;
533131.77;152804.06;12.14;18.3;186.25;0.663;15.40;0.7201;4.9412;2.471;;;;;;;;;;;
532934.85;152213.63;4.83;15.8;63.5;0.306;8.99;0.4051;0.6222;0.311;;;;;;;;;;;
532861.71;152392.76;6.28;18.7;55;0.336;8.37;0.3745;0.6913;0.346;;;;;;;;;;;
533476.66;152595.18;9.21;15.8;179.25;0.583;15.11;0.7057;3.6006;1.800;;;;;;;;;;;
533230.55;152703.79;5.4;12;108.75;0.450;11.77;0.5415;1.2431;0.622;;;;;;;;;;;
532892.23;152249.49;5.6;18.4;38.75;0.304;7.03;0.3084;0.4181;0.209;;;;;;;;;;;
533146.17;152921.17;22.43;29.1;224;0.771;16.89;0.7932;11.0790;5.540;;;;;;;;;;;
533099.19;153035.45;10.91;18;174;0.606;14.89;0.6947;4.1338;2.067;;;;;;;;;;;
532632.22;151954.26;11.21;15.4;186.25;0.728;15.40;0.7201;4.5626;2.281;;;;;;;;;;;
533025.31;153091.92;6.84;14.9;59;0.459;8.67;0.3892;0.8132;0.407;;;;;;;;;;;
533045.42;152883.72;5.93;11.9;80.75;0.498;10.14;0.4615;0.9916;0.496;;;;;;;;;;;
533426.39;152555.44;5.62;9.7;77.5;0.579;9.94;0.4514;0.8990;0.449;;;;;;;;;;;
